"Run","Std","Rep","A","B","C","D","Sapma","Toparlanma","Skor","Enerji"
1,1,1,"Dusuk","Kisa","Dusuk","Dusuk",1.46,114,7.2,5.72
2,1,2,"Dusuk","Kisa","Dusuk","Dusuk",1.55,112,7.17,5.7
3,2,1,"Yuksek","Kisa","Dusuk","Dusuk",3.26,137,8.59,9.01
4,2,2,"Yuksek","Kisa","Dusuk","Dusuk",3.32,135,8.72,8.68
5,3,1,"Dusuk","Uzun","Dusuk","Dusuk",2.2,163,6.8,8.11
6,3,2,"Dusuk","Uzun","Dusuk","Dusuk",2.03,148,6.84,7.89
7,4,1,"Yuksek","Uzun","Dusuk","Dusuk",4.16,201,7.87,11.05
8,4,2,"Yuksek","Uzun","Dusuk","Dusuk",4.11,198,8.11,11.01
9,5,1,"Dusuk","Kisa","Yuksek","Dusuk",1.94,151,7.81,7.86
10,5,2,"Dusuk","Kisa","Yuksek","Dusuk",2.02,152,7.76,7.66
11,6,1,"Yuksek","Kisa","Yuksek","Dusuk",4.06,185,9.11,11.38
12,6,2,"Yuksek","Kisa","Yuksek","Dusuk",4.27,180,9.13,11.32
13,7,1,"Dusuk","Uzun","Yuksek","Dusuk",2.58,210,6.8,9.92
14,7,2,"Dusuk","Uzun","Yuksek","Dusuk",2.56,217,6.81,9.95
15,8,1,"Yuksek","Uzun","Yuksek","Dusuk",4.94,260,7.78,13.74
16,8,2,"Yuksek","Uzun","Yuksek","Dusuk",4.94,257,7.57,13.66
17,9,1,"Dusuk","Kisa","Dusuk","Yuksek",1.15,88,7.59,6.44
18,9,2,"Dusuk","Kisa","Dusuk","Yuksek",1.21,92,7.67,6.46
19,10,1,"Yuksek","Kisa","Dusuk","Yuksek",3.04,112,8.92,9.47
20,10,2,"Yuksek","Kisa","Dusuk","Yuksek",2.96,106,9.05,9.75
21,11,1,"Dusuk","Uzun","Dusuk","Yuksek",1.76,122,7.28,8.91
22,11,2,"Dusuk","Uzun","Dusuk","Yuksek",1.68,136,7.05,8.9
23,12,1,"Yuksek","Uzun","Dusuk","Yuksek",3.68,162,8.34,12.04
24,12,2,"Yuksek","Uzun","Dusuk","Yuksek",3.63,163,8.17,11.98
25,13,1,"Dusuk","Kisa","Yuksek","Yuksek",1.45,123,8.14,8.65
26,13,2,"Dusuk","Kisa","Yuksek","Yuksek",1.49,119,8.14,8.44
27,14,1,"Yuksek","Kisa","Yuksek","Yuksek",3.58,149,9.31,12.16
28,14,2,"Yuksek","Kisa","Yuksek","Yuksek",3.61,146,9.5,12.33
29,15,1,"Dusuk","Uzun","Yuksek","Yuksek",1.93,188,7.21,10.75
30,15,2,"Dusuk","Uzun","Yuksek","Yuksek",2.08,191,7.18,10.85
31,16,1,"Yuksek","Uzun","Yuksek","Yuksek",4.34,227,8.08,14.31
32,16,2,"Yuksek","Uzun","Yuksek","Yuksek",4.26,228,8.06,14.41
