Run,Std,Rep,A,B,C,D,kombinasyon,yanit,deger
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Sapma,1.46
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,114
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Skor,7.2
1,1,1,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Enerji,5.72
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Sapma,1.55
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,112
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Skor,7.17
2,1,2,Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,Enerji,5.7
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Sapma,3.26
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,137
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Skor,8.59
3,2,1,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Enerji,9.01
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Sapma,3.32
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Toparlanma,135
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Skor,8.72
4,2,2,Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,Enerji,8.68
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Sapma,2.2
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,163
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Skor,6.8
5,3,1,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Enerji,8.11
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Sapma,2.03
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,148
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Skor,6.84
6,3,2,Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,Enerji,7.89
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Sapma,4.16
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,201
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Skor,7.87
7,4,1,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Enerji,11.05
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Sapma,4.11
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Toparlanma,198
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Skor,8.11
8,4,2,Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,Enerji,11.01
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Sapma,1.94
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,151
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Skor,7.81
9,5,1,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Enerji,7.86
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Sapma,2.02
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,152
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Skor,7.76
10,5,2,Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,Enerji,7.66
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Sapma,4.06
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,185
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Skor,9.11
11,6,1,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Enerji,11.38
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Sapma,4.27
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Toparlanma,180
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Skor,9.13
12,6,2,Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,Enerji,11.32
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Sapma,2.58
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Toparlanma,210
13,7,1,Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,Skor,6.8
