A,B,C,D,kombinasyon,sapma_ort,toparlanma_ort,skor_ort,enerji_ort,sapma_ss,toparlanma_ss,skor_ss,enerji_ss
Dusuk,Kisa,Dusuk,Dusuk,A=Dusuk | B=Kisa | C=Dusuk | D=Dusuk,1.505,113,7.1850000000000005,5.71,0.06363961030678934,1.4142135623730951,0.0212132034355966,0.014142135623730649
Dusuk,Kisa,Dusuk,Yuksek,A=Dusuk | B=Kisa | C=Dusuk | D=Yuksek,1.18,90,7.63,6.45,0.04242640687119289,2.8284271247461903,0.05656854249492385,0.014142135623730649
Dusuk,Kisa,Yuksek,Dusuk,A=Dusuk | B=Kisa | C=Yuksek | D=Dusuk,1.98,151.5,7.785,7.76,0.05656854249492385,0.7071067811865476,0.03535533905932725,0.14142135623730964
Dusuk,Kisa,Yuksek,Yuksek,A=Dusuk | B=Kisa | C=Yuksek | D=Yuksek,1.47,121,8.14,8.545,0.028284271247461926,2.8284271247461903,0,0.1484924240491756
Dusuk,Uzun,Dusuk,Dusuk,A=Dusuk | B=Uzun | C=Dusuk | D=Dusuk,2.115,155.5,6.82,8,0.12020815280171335,10.606601717798213,0.028284271247461926,0.15556349186104027
Dusuk,Uzun,Dusuk,Yuksek,A=Dusuk | B=Uzun | C=Dusuk | D=Yuksek,1.72,129,7.165,8.905000000000001,0.05656854249492385,9.899494936611665,0.16263455967290624,0.007071067811865324
Dusuk,Uzun,Yuksek,Dusuk,A=Dusuk | B=Uzun | C=Yuksek | D=Dusuk,2.5700000000000003,213.5,6.805,9.934999999999999,0.014142135623730963,4.949747468305833,0.007071067811865324,0.021213203435595972
Dusuk,Uzun,Yuksek,Yuksek,A=Dusuk | B=Uzun | C=Yuksek | D=Yuksek,2.005,189.5,7.195,10.8,0.10606601717798222,2.1213203435596424,0.0212132034355966,0.0707106781186545
Yuksek,Kisa,Dusuk,Dusuk,A=Yuksek | B=Kisa | C=Dusuk | D=Dusuk,3.29,136,8.655000000000001,8.844999999999999,0.04242640687119289,1.4142135623730951,0.09192388155425173,0.23334523779156074
Yuksek,Kisa,Dusuk,Yuksek,A=Yuksek | B=Kisa | C=Dusuk | D=Yuksek,3,109,8.985,9.61,0.05656854249492385,4.242640687119285,0.09192388155425173,0.19798989873223286
Yuksek,Kisa,Yuksek,Dusuk,A=Yuksek | B=Kisa | C=Yuksek | D=Dusuk,4.164999999999999,182.5,9.120000000000001,11.350000000000001,0.14849242404917495,3.5355339059327378,0.014142135623731905,0.0424264068711932
Yuksek,Kisa,Yuksek,Yuksek,A=Yuksek | B=Kisa | C=Yuksek | D=Yuksek,3.5949999999999998,147.5,9.405000000000001,12.245000000000001,0.021213203435596288,2.1213203435596424,0.1343502884254437,0.12020815280171303
Yuksek,Uzun,Dusuk,Dusuk,A=Yuksek | B=Uzun | C=Dusuk | D=Dusuk,4.135,199.5,7.99,11.030000000000001,0.03535533905932725,2.1213203435596424,0.16970562748477094,0.028284271247462554
Yuksek,Uzun,Dusuk,Yuksek,A=Yuksek | B=Uzun | C=Dusuk | D=Yuksek,3.6550000000000002,162.5,8.254999999999999,12.01,0.03535533905932756,0.7071067811865476,0.12020815280171303,0.042426406871191945
Yuksek,Uzun,Yuksek,Dusuk,A=Yuksek | B=Uzun | C=Yuksek | D=Dusuk,4.94,258.5,7.675000000000001,13.7,0,2.1213203435596424,0.14849242404917495,0.05656854249492385
Yuksek,Uzun,Yuksek,Yuksek,A=Yuksek | B=Uzun | C=Yuksek | D=Yuksek,4.3,227.5,8.07,14.36,0.05656854249492385,0.7071067811865476,0.014142135623730649,0.0707106781186545
